...1,Date,Team,Acquired,Relinquished,Notes
4944,10/29/2001,Suns,NA,Daniel Santiago,placed on IL with plantar fasciatis
4945,10/29/2001,Suns,NA,Vinny Del Negro,placed on IL with foot injury
4946,10/29/2001,Timberwolves,NA,Maurice Evans,placed on IL with leg injury
4947,10/29/2001,Timberwolves,NA,Tom Hammonds,placed on IL with knee injury
4948,10/29/2001,Timberwolves,NA,William Avery / Will Avery,placed on IL with knee injury
4949,10/29/2001,Warriors,NA,Cedric Henderson (Earl),placed on IL with left knee tendinitis
4950,10/29/2001,Warriors,NA,Dean Oliver,placed on IL with strained right hamstring
4951,10/29/2001,Wizards,NA,Brendan Haywood,placed on IL with torn ligament in left thumb
4952,10/29/2001,Wizards,NA,Hubert Davis,placed on IR with torn right hamstring
4953,10/29/2001,Wizards,NA,Loy Vaught,placed on IL with lower back spasms
4954,11/1/2001,Celtics,NA,Joseph Forte,placed on IL with lower back spasms
4955,11/5/2001,Hawks,NA,Theo Ratliff,placed on IL with strained right hip flexor and groin pull
4956,11/6/2001,Hawks,NA,Toni Kukoc,placed on IR with a strained left / right (P) quadriceps
4957,11/6/2001,Sonics,NA,Antonio Harvey,placed on IL with right knee patella tendinitis
4958,11/7/2001,Cavaliers,NA,Bryant Stith,placed on IR with right hip flexor injury
4961,11/8/2001,Mavericks,NA,Evan Eschmeyer,placed on IL with sprained left ankle
4963,11/8/2001,Suns,NA,Charlie Bell,placed on IL with sprained left ankle
4965,11/8/2001,Warriors,NA,Gilbert Arenas,placed on IL with strained lower back
4966,11/9/2001,76ers,NA,Matt Geiger,placed on IL with patella femoral arthritis in both knees
4968,11/9/2001,Grizzlies,NA,Michael Dickerson,placed on IL with strained right abductor
4970,11/9/2001,Magic,NA,Monty Williams,placed on IL with strained right hamstring
4973,11/10/2001,Bulls,NA,A.J. Guyton,placed on IL with left ankle tendinitis
4975,11/10/2001,Hawks,NA,Shareef Abdur-Rahim,placed on IL with sprained left knee
4977,11/10/2001,Heat,NA,Kendall Gill,placed on IR with fractured left pinky
4980,11/10/2001,Pistons,NA,Victor Alexander,placed on IL with left knee patella tendinitis
4982,11/11/2001,Sonics,NA,Vin Baker,placed on IL with bruised left knee
4983,11/13/2001,Blazers,NA,Damon Stoudamire,placed on IL with right knee tendinitis
4985,11/13/2001,Hawks,NA,Chris Crawford (Lee),placed on IL with a torn ACL in left knee
4987,11/13/2001,Mavericks,NA,Eduardo Najera,placed on IL with bruised right knee
4990,11/14/2001,Celtics,NA,Eric Williams,placed on IL with left knee tendinitis
4992,11/14/2001,Raptors,NA,Jerome Williams,placed on IL with bruised right knee
4994,11/15/2001,Clippers,NA,Keyon Dooling,placed on IL with high left ankle sprain (out 4-6 weeks)
4995,11/15/2001,Heat,NA,Brian Grant,placed on IR with bone bruise in right instep
4998,11/16/2001,Wizards,NA,Tyronn Lue,placed on IL with sprained ligaments in right hand
5000,11/17/2001,Celtics,NA,Roshown McLeod,placed on IR with lower left leg nerve damage
5002,11/17/2001,Jazz,NA,Bryon Russell,placed on IL with strained groin
5004,11/17/2001,Pacers,NA,Travis Best,placed on IL with strained right hamstring
5006,11/17/2001,Rockets,NA,Tierre Brown,placed on IL with plantar fasciatis in left foot
5009,11/19/2001,Grizzlies,NA,Antonis Fotsis,placed on IL with right knee tendinitis
5011,11/20/2001,Blazers,NA,Scottie Pippen (Sr.),placed on IL with bruised right knee
5014,11/20/2001,Heat,NA,Ernest Brown,placed on IR with jammed right thumb
5016,11/20/2001,Hornets,NA,Jamal Mashburn,placed on IL with pulled right groin
5017,11/20/2001,Mavericks,NA,Omar Cook,placed on IL with left knee tendinitis
5020,11/20/2001,Sonics,NA,Jerome James,placed on IL with sprained right foot
5022,11/21/2001,Bulls,NA,Eddie Robinson,placed on IR with left toe sesamoiditis
5023,11/21/2001,Nuggets,NA,Zendon Hamilton,placed on IL with sprained right wrist
5024,11/21/2001,Spurs,NA,Stephen Jackson,placed on IL with patella tendinitis
5028,11/22/2001,Knicks,NA,Clarence Weatherspoon,placed on IL with partially torn peroneal tendon in right foot
5029,11/22/2001,Raptors,NA,Michael Bradley,placed on IL with bruised right clavicle
5031,11/23/2001,76ers,NA,Alvin Jones,placed on IL with sprained left ankle
5032,11/23/2001,Blazers,NA,Ruben Boumtje Boumtje,placed on IL with left knee patella tendinitis
5035,11/23/2001,Mavericks,NA,Wang Zhizhi / Wang Zhi-Zhi,placed on IL with right Achilles tendinitis
5037,11/23/2001,Nuggets,NA,Tariq Abdul-Wahad / Olivier Saint-Jean,placed on IL with surgery on left knee
5040,11/25/2001,Lakers,NA,Jelani McCoy,placed on IL with bone bruise in right foot
5043,11/25/2001,Sonics,NA,Antonio Harvey,placed on IL with right knee patella tendinitis
5045,11/26/2001,Knicks,NA,Larry Robinson (b. 1968-01-11),placed on IL with right knee patella tendinitis
5047,11/26/2001,Wizards,NA,Bobby Simmons,placed on IL with knee tendinitis
5049,11/27/2001,Celtics,NA,Walter McCarty,placed on IL with sprained left big toe
5051,11/27/2001,Mavericks,NA,Greg Buckner,placed on IL with sore left knee
5053,11/27/2001,Rockets,NA,Steve Francis,placed on IL with plantar fasciatis in left foot (out 4-6 weeks)
5055,11/28/2001,Bucks,NA,Greg Foster,placed on IR with bulging cervical disc
5056,11/28/2001,Wizards,NA,Tyrone Nesby,placed on IL with strained lower back
5058,12/1/2001,Blazers,NA,Erick Barkley,placed on IL with left knee patella tendinitis
5061,12/1/2001,Cavaliers,NA,Michael Doleac,placed on IR with stress fracture of left ankle
5063,12/1/2001,Pacers,NA,Carlos Rogers,placed on IL with upper respiratory infection
5065,12/2/2001,Mavericks,NA,Donnell Harvey,placed on IL with bruised ribs
5068,12/3/2001,Cavaliers,NA,Jeff Trepagnier,placed on IL with right knee tendinitis
5070,12/4/2001,Heat,NA,Malik Allen,placed on IR with left knee/quadricep tendinitis
5072,12/4/2001,Nuggets,NA,Chris Andersen,placed on IL with strained left shoulder
5074,12/4/2001,Sonics,NA,Desmond Mason,placed on IR with bruised/sprained right knee
5075,12/5/2001,Celtics,NA,Joseph Forte,placed on IL with a sprained right ankle
5077,12/6/2001,Grizzlies,NA,Lorenzen Wright,placed on IR with fractured bone in left knee (out indefinitely)
5079,12/7/2001,Celtics,NA,Randy Brown,placed on IL with strained right groin
5081,12/7/2001,Magic,NA,Grant Hill,placed on IR with sprained/sore left foot
5083,12/9/2001,Kings,NA,Lawrence Funderburke,placed on IL with right Achilles tendinitis
5085,12/9/2001,Raptors,NA,Carlos Arroyo,placed on IL with right Achilles tendinitis
5087,12/10/2001,76ers,NA,Craig Claxton / Speedy Claxton,placed on IL with sprained left ankle
5090,12/11/2001,Wizards,NA,Courtney Alexander,placed on IL with bruised left shin and sprained left ankle
5092,12/12/2001,Sonics,NA,Calvin Booth,placed on IL with sprained right ankle
5093,12/12/2001,Timberwolves,NA,Felipe Lopez,placed on IL with bruised left hip
5095,12/13/2001,Pacers,NA,Primoz Brezec,placed on IL with sprained right ankle
5097,12/14/2001,Blazers,NA,Scottie Pippen (Sr.),placed on IL with bruised right knee
5100,12/14/2001,Wizards,NA,Christian Laettner,placed on IR with fractured left leg
5102,12/15/2001,Blazers,NA,Chris Dudley,placed on IR with right shoulder rotator cuff weakness
5104,12/15/2001,Mavericks,NA,Johnny Newman,placed on IL with left knee tendinitis
5106,12/15/2001,Spurs,NA,Danny Ferry,placed on IL with lower back spasms
5108,12/18/2001,Heat,NA,Sean Marks,placed on IR with cervican strain
5110,12/18/2001,Rockets,NA,Glen Rice (Sr.),placed on IR with strained patellar tendon in right knee
5113,12/18/2001,Timberwolves,NA,Terrell Brandon,placed on IR with synovitis / loose body in left knee
5115,12/20/2001,Bulls,NA,A.J. Guyton,placed on IL with strained left hamstring
5117,12/20/2001,Clippers,NA,Harold Jamison,placed on IR with bruised left shin
5118,12/20/2001,Raptors,NA,Chris Childs,placed on IR with sore right ankle
5120,12/21/2001,Heat,NA,Anthony Carter,placed on IL with abdominal strain
5122,12/21/2001,Jazz,NA,Quincy Lewis,placed on IL with left Achilles tendinitis
5124,12/21/2001,Spurs,NA,Jason Hart,placed on IL with strained lower back
5126,12/22/2001,Magic,NA,Steven Hunter,placed on IL with plantar fasciatis in right foot
5128,12/25/2001,Lakers,NA,Shaquille O'Neal,placed on IR with sore left toe / right big toe (P)
5130,12/26/2001,Wizards,NA,Richard Hamilton,placed on IR with partially torn right groin
5132,12/27/2001,Suns,NA,Iakovos Tsakalidis / Jake Tsakalidis,placed on IL with sprained right hand
5135,12/28/2001,Raptors,NA,Hakeem Olajuwon,placed on IL with infected toe on left foot
5137,12/28/2001,Rockets,NA,Dan Langhi,placed on IL with left ankle tendinitis
5140,12/29/2001,Mavericks,NA,Donnell Harvey,placed on IL with sprained right ankle
5141,12/29/2001,Mavericks,NA,Evan Eschmeyer,placed on IL with sprained left ankle
5144,12/30/2001,76ers,NA,Damone Brown,placed on IL with strained lower back
5145,12/30/2001,Blazers,NA,Mitchell Butler,placed on IL with sprained left knee
5147,12/30/2001,Timberwolves,NA,Maurice Evans,placed on IR with posterior tibialis tendinitis in left knee
5149,1/1/2002,Blazers,NA,Zach Randolph,placed on IL with sprained right ankle
5151,1/2/2002,Mavericks,NA,Shawn Bradley,placed on IL with bone bruise in right knee
5152,1/2/2002,Raptors,NA,Michael Stewart,placed on IL
5154,1/2/2002,Warriors,NA,Cedric Henderson (Earl),placed on IL with left knee tendinitis
5156,1/3/2002,Bulls,NA,Dalibor Bagaric,placed on IL with lower back pain
5158,1/4/2002,Cavaliers,NA,Trajan Langdon,placed on IL with sprained right ankle
5160,1/4/2002,Lakers,NA,Jelani McCoy,placed on IL with bone bruise in right foot
5162,1/4/2002,Magic,NA,Jeryl Sasser,placed on IL with right knee patella tendinitis
5164,1/4/2002,Raptors,NA,Morris Peterson,placed on IL with broken right index finger (out 6-8 weeks)
5167,1/5/2002,Pistons,NA,Rodney White,placed on IL with sprained left ankle
5170,1/7/2002,Magic,NA,Patrick Ewing (Sr.),placed on IR with right calf / Achilles tendinitis
5172,1/8/2002,Mavericks,NA,Michael Finley,placed on IL with strained left hamstring
5175,1/8/2002,Suns,NA,Tom Gugliotta,placed on IL with left quadriceps tendinitis
5177,1/9/2002,Hawks,NA,Chris Crawford (Lee),placed on IL with a torn ACL in left knee
5178,1/9/2002,Pacers,NA,Jamison Brewer,placed on IL with strained right groin
5180,1/10/2002,Hawks,NA,Toni Kukoc,placed on IL with broken right wrist
5182,1/10/2002,Pistons,NA,Dana Barros,placed on IR with pulled left hamstring
5184,1/10/2002,Raptors,NA,Mamadou N'diaye,placed on IL with left quadriceps tendinitis
5185,1/11/2002,Spurs,NA,Bruce Bowen,placed on IR with broken right middle finger
5187,1/12/2002,Knicks,NA,Travis Knight,placed on IL with bruised right knee
5189,1/12/2002,Timberwolves,NA,Gary Trent,placed on IR with high left ankle sprain
5191,1/12/2002,Wizards,NA,Courtney Alexander,placed on IL with sprained left ankle
5192,1/13/2002,Blazers,NA,Ruben Boumtje Boumtje,placed on IL with sprained left ankle
5194,1/14/2002,76ers,NA,Jabari Smith (Sr.),placed on IL with left knee tendinitis
5195,1/14/2002,Hawks,NA,Emanual Davis,placed on IR with a broken navicular bone in left wrist
5196,1/14/2002,Mavericks,NA,Charlie Bell,placed on IL with sprained right ankle
5198,1/14/2002,Warriors,NA,Daron Blaylock / Mookie Blaylock,placed on IL with strained right calf
5200,1/15/2002,Bulls,NA,A.J. Guyton,placed on IL with left elbow bursitis
5202,1/15/2002,Hornets,NA,Jerome Moiso,placed on IL with left knee tendinitis
5204,1/15/2002,Spurs,NA,(William) Tony Parker,placed on IL with sprained right ankle
5206,1/17/2002,Rockets,NA,Walt Williams,placed on IL with sprained right ankle
5209,1/19/2002,Knicks,NA,Larry Robinson (b. 1968-01-11),placed on IL with right knee patella tendinitis
5211,1/19/2002,Timberwolves,NA,William Avery / Will Avery,placed on IL
5213,1/21/2002,Cavaliers,NA,Lamond Murray,placed on IR with broken nose
5216,1/23/2002,Hornets,NA,Robert Traylor / Tractor Traylor,placed on IL with sprained right ankle
5217,1/23/2002,Jazz,NA,Donyell Marshall,placed on IL with bruised right hip
5219,1/24/2002,Clippers,NA,Lamar Odom,placed on IL with sprained right wrist
5221,1/24/2002,Mavericks,NA,Greg Buckner,placed on IR with left calf strain
5223,1/24/2002,Wizards,NA,Christian Laettner,placed on IL with deep right thigh bruise
5225,1/25/2002,Celtics,NA,Kedrick Brown,placed on IL with a sprained right ankle
5227,1/25/2002,Pacers,NA,Al Harrington,placed on IL with torn ACL in right knee
5229,1/25/2002,Spurs,NA,Jason Hart,placed on IL with left knee tendinitis
5231,1/26/2002,Bulls,NA,Greg Anthony,placed on IR with partially torn right Achilles tendon
5232,1/26/2002,Bulls,NA,Ron Mercer,placed on IL with sprained MCL in right knee
5235,1/26/2002,Cavaliers,NA,Jeff Trepagnier,placed on IL with right knee tendinitis
5237,1/26/2002,Warriors,NA,Dean Oliver,placed on IR with left shoulder tendinitis
5239,1/28/2002,Jazz,NA,John Crotty,placed on IL with left knee tendinitis
5240,1/29/2002,Mavericks,NA,Charlie Bell,placed on IL with sprained right ankle
5242,1/30/2002,Wizards,NA,Bobby Simmons,placed on IL with left knee tendinitis
5244,1/31/2002,Nets,NA,Brandon Armstrong,placed on IL with left knee patella tendinitis
5246,1/31/2002,Raptors,NA,Hakeem Olajuwon,placed on IL with strained right quadriceps
5248,2/1/2002,Heat,NA,Malik Allen,placed on IL with right knee tendinitis
5250,2/1/2002,Nuggets,NA,Scott Williams,placed on IL with sore lower back
5252,2/1/2002,Timberwolves,NA,Maurice Evans,placed on IL with left knee tendinitis
5254,2/2/2002,Cavaliers,NA,Trajan Langdon,placed on IL with sprained right ankle
5256,2/3/2002,Knicks,NA,Marcus Camby,placed on IL with torn muscle & bone contusion of right hip (out for season)
5257,2/5/2002,Hornets,NA,David Wesley,placed on IR with cracked bone in left foot
5261,2/5/2002,Mavericks,NA,Donnell Harvey,placed on IL with sprained right ankle
5263,2/7/2002,Lakers,NA,Shaquille O'Neal,placed on IR with arthritic right big toe
5265,2/12/2002,Magic,NA,Jeryl Sasser,placed on IL with right knee patella tendinitis
5267,2/12/2002,Pistons,NA,Brian Cardinal,placed on IL with patella tendinitis in both knees
5268,2/12/2002,Pistons,NA,Victor Alexander,placed on IL with back spasms
5271,2/12/2002,Raptors,NA,Vince Carter,placed on IL with strained left quadriceps
5274,2/12/2002,Wizards,NA,Kwame Brown,placed on IL with pulled hamstring and strained left calf
5276,2/13/2002,Grizzlies,NA,Nick Anderson,placed on IL with sprained left wrist
5277,2/13/2002,Hornets,NA,Matt Bullard,placed on IL with back spasms
5278,2/13/2002,Suns,NA,Alton Ford,placed on IL with back spasms
5280,2/13/2002,Timberwolves,NA,Terrell Brandon,placed on IL with left knee synovitis
5283,2/14/2002,Grizzlies,NA,Isaac Austin / Ike Austin,placed on IL with right knee tendinitis
5285,2/14/2002,Nets,NA,Donny Marshall,placed on IL with hamstring injury
5287,2/14/2002,Spurs,NA,Amal McCaskill,placed on IL with left knee tendinitis
5289,2/15/2002,Cavaliers,NA,Vernell Coles / Bimbo Coles,placed on IL with sprained left knee
5292,2/15/2002,Mavericks,NA,Greg Buckner,placed on IL with strained left calf
5293,2/15/2002,Warriors,NA,Cedric Henderson (Earl),placed on IL with sprained right ankle
5295,2/16/2002,Cavaliers,NA,Brian Skinner,placed on IL with neck spasms
5298,2/17/2002,Hawks,NA,Theo Ratliff,placed on IL with strained right hip
5300,2/18/2002,76ers,NA,Derrick McKey,placed on IL with strained left calf
5302,2/18/2002,Blazers,NA,Zach Randolph,placed on IL with strained right ankle
5306,2/18/2002,Nuggets,NA,Chris Andersen,placed on IL with chipped bone in right wrist
5308,2/19/2002,Celtics,NA,Joseph Forte,placed on IL with sprained left ankle
5311,2/19/2002,Lakers,NA,Samaki Walker,placed on IL with hyperextended right elbow
5313,2/20/2002,Bulls,NA,Norm Richardson,placed on IL with sprained left ankle
5316,2/21/2002,Mavericks,NA,Adrian Griffin,placed on IL with back spasms
5317,2/21/2002,Mavericks,NA,Shawn Bradley,placed on IL with sore right knee
5319,2/21/2002,Suns,NA,Jake Voskuhl,placed on IL with left foot injury
5320,2/22/2002,Clippers,NA,Corey Maggette,placed on IR with dislocated right and pinky fingers on right hand
5321,2/22/2002,Nets,NA,Todd MacCulloch,placed on IR with plantar fasciaitis in left foot
5323,2/22/2002,Raptors,NA,Mamadou N'diaye,placed on IL with plantar fasciaitis in right foot
5325,2/22/2002,Sonics,NA,Vin Baker,placed on IR with dislocated toes on left foot
5328,2/23/2002,Heat,NA,Eddie House,placed on IL with bruised right quadriceps
5330,2/23/2002,Raptors,NA,Michael Bradley,placed on IL with sprained right ankle
5331,2/24/2002,Pistons,NA,Ratko Varda,placed on IL with back spasms
5333,2/24/2002,Raptors,NA,Tracy Murray,placed on IL with back spasms
5336,2/25/2002,Warriors,NA,Chris Mills,placed on IL with right ankle inflammation
5338,2/26/2002,Cavaliers,NA,Chris Mihm,placed on IL with bruised right knee
5340,2/26/2002,Jazz,NA,Quincy Lewis,placed on IL with left Achilles tendinitis
5342,2/26/2002,Kings,NA,Mateen Cleaves,placed on IL with strained right plantar fascia muscle
5343,2/26/2002,Wizards,NA,Michael Jordan (Jeffrey),placed on IL with right knee injury
5345,2/28/2002,Cavaliers,NA,DeSagana Diop,placed on IL with strained right plantar fascia
5347,2/28/2002,Heat,NA,LaPhonso Ellis,placed on IR with strained right adductor/groin
5349,2/28/2002,Hornets,NA,Jerome Moiso,placed on IL with left knee tendinitis
5351,2/28/2002,Spurs,NA,Stephen Jackson,placed on IL with strained right thumb
5353,3/1/2002,76ers,NA,Jabari Smith (Sr.),placed on IL with sprained left ankle
5354,3/1/2002,76ers,NA,Samuel Dalembert,placed on IR with left knee bruise/bursitis
5357,3/1/2002,Blazers,NA,Ruben Boumtje Boumtje,placed on IL with sprained left ankle
5359,3/1/2002,Nuggets,NA,Scott Williams,placed on IL with sore back
5361,3/2/2002,Rockets,NA,Oscar Torres,placed on IL with sprained right ankle
5363,3/3/2002,Bucks,NA,Sam Cassell,placed on IL with sprained left big toe
5365,3/3/2002,Grizzlies,NA,Antonis Fotsis,placed on IL with right knee tendinitis
5366,3/4/2002,Blazers,NA,Erick Barkley,placed on IL with left knee patella tendinitis
5367,3/4/2002,Clippers,NA,Keyon Dooling,placed on IL with sore left ankle
